STU_ID,female,race,firstgen,prnt_female_edu,prnt_male_edu,prnt_female_occ,prnt_male_occ,self_concept_ability_math,math_teacher_gender,teach_math_9_12,teachers_high_standards,teacher_emphasize_interest,teacher_emphasize_prepare,teacher_emphasize_business,teacher_emphasize_standtest,math_mentor_pairing,math_afterschool_program,credits_stem,gpa_stem
10001,0,1,0,3,3,0,0,1.5,0,2,1,4,3,3,4,1,0,6,3
10002,1,1,0,2,NA,0,0,1.75,1,2,1,3,3,4,4,0,0,5,4
10003,1,3,0,3,NA,0,0,1.75,0,3,1,3,4,3,3,1,0,4,2.5
10004,1,1,0,2,NA,0,0,2,1,2,NA,NA,NA,NA,NA,0,0,4,3.5
10005,0,1,0,2,NA,0,0,2,0,3,2,3,3,2,4,1,1,4,2.5
10007,1,1,1,1,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,0,1,3,2
10008,0,1,0,3,NA,0,0,3,1,3,1,4,4,4,4,0,0,3,3
10010,1,1,0,2,NA,0,1,1,1,3,2,2,4,3,3,1,1,4.5,4
10012,1,1,0,3,3,0,0,1.75,1,NA,1,3,4,3,3,0,1,4,4
10013,0,1,0,3,NA,0,0,1,1,2,NA,NA,NA,NA,NA,1,1,4,3
10016,1,1,0,2,NA,0,0,2,0,3,2,3,4,3,3,1,0,4,2.5
10018,0,1,0,2,3,0,0,2,3,NA,NA,NA,NA,NA,NA,0,0,3,3.5
10019,0,1,1,1,NA,0,0,1,1,3,1,3,4,4,4,0,1,3,3
10020,0,1,0,1,NA,0,0,2.75,1,3,1,3,4,3,3,0,1,3,2
10022,0,5,0,3,NA,0,0,1.5,3,NA,NA,NA,NA,NA,NA,1,1,5,3.5
10025,0,1,1,1,NA,0,0,2,1,3,2,3,3,2,3,1,1,0.5,0.5
10026,1,5,0,2,3,0,1,2,1,3,2,4,4,2,2,1,1,4,3.5
10029,0,1,1,1,NA,0,0,3,1,1,2,3,4,4,4,0,1,3.5,1.5
10034,1,1,1,1,NA,0,0,3.25,1,2,1,4,3,3,3,1,0,3,1
10039,1,5,0,2,NA,0,0,1,1,2,1,NA,NA,NA,NA,NA,NA,4,3.5
10042,0,1,1,1,NA,0,0,4,3,NA,NA,NA,NA,NA,NA,0,0,1,0.25
10043,1,1,1,1,NA,0,0,2.5,3,NA,NA,NA,NA,NA,NA,0,0,4,2
10044,0,1,0,2,NA,0,0,1,0,2,NA,NA,NA,NA,NA,1,1,4,3
10046,1,1,1,1,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,1,0,3,1.5
10048,1,1,1,1,NA,0,0,2,0,2,NA,NA,NA,NA,NA,0,1,4,2
10049,1,1,0,3,1,0,0,1,1,NA,1,4,4,2,3,0,1,4.5,4
10050,1,1,1,1,NA,0,0,1,1,3,2,3,3,4,4,0,0,3,2
10053,0,1,0,2,NA,0,0,2.25,1,3,1,3,4,3,3,NA,NA,4,1
10054,1,1,1,1,NA,0,0,2.5,1,3,2,2,3,2,3,1,1,3,2
10055,0,5,0,3,3,1,0,1,1,2,2,3,3,3,3,0,0,4,3.5
10056,1,1,1,1,NA,0,0,2,0,2,2,4,4,3,2,1,0,3,2.5
10058,1,5,0,2,2,0,0,2.25,1,2,1,NA,NA,NA,NA,0,1,5,2.5
10060,0,1,1,1,NA,0,0,1.25,3,NA,NA,NA,NA,NA,NA,0,1,4,2
10061,0,5,1,1,NA,0,0,2,1,2,NA,NA,NA,NA,NA,0,0,3,3.5
10062,0,1,1,1,1,0,0,2,1,2,1,3,3,3,3,0,0,3.5,2.5
10063,0,1,1,1,NA,0,0,3,0,2,1,4,4,4,4,0,1,4,1.5
10064,1,1,1,1,NA,0,0,1.5,0,3,2,NA,NA,NA,NA,1,0,2.5,3
10065,1,1,1,1,NA,0,0,2.75,1,2,3,3,4,2,3,0,0,3,1
10067,0,5,1,1,NA,0,0,2,1,3,2,4,4,3,3,0,1,4,2.5
10068,1,1,1,1,NA,0,0,1.5,1,2,1,NA,NA,NA,NA,1,1,5,2.5
10069,0,5,0,2,3,0,0,2.75,0,3,NA,NA,NA,NA,NA,0,1,4,3.5
10071,1,1,1,1,NA,0,0,3,0,2,1,3,4,3,3,0,0,3,1
10072,1,1,1,1,NA,0,0,2.25,1,2,2,3,4,2,2,0,0,4,2.5
10074,1,1,1,1,1,0,0,2.5,3,NA,NA,NA,NA,NA,NA,0,0,2,1
10078,0,3,0,3,NA,0,0,1.25,3,NA,NA,NA,NA,NA,NA,0,1,4,3.5
10079,1,1,1,1,NA,0,0,2.25,3,NA,NA,NA,NA,NA,NA,0,1,3,2.5
10080,1,3,0,2,NA,0,0,2.5,1,3,1,NA,NA,NA,NA,NA,NA,4,2
10084,0,1,0,2,NA,0,0,2,0,3,2,4,4,3,4,1,0,3,3.5
10085,0,1,1,1,NA,0,0,2.5,1,2,2,NA,NA,NA,NA,0,0,4,2
10087,0,1,0,2,NA,0,0,1.25,3,NA,NA,NA,NA,NA,NA,1,1,3.5,2
10090,1,1,0,2,NA,0,0,2,1,3,1,3,4,3,4,0,0,4,2.5
10091,0,1,1,1,1,0,0,2,3,NA,NA,NA,NA,NA,NA,1,1,4,2
10094,0,1,0,3,NA,0,0,2.5,3,NA,NA,NA,NA,NA,NA,0,0,4,4
10097,1,1,0,2,NA,0,0,1.25,1,3,NA,NA,NA,NA,NA,0,1,4,2
10099,1,1,0,3,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,1,1,5,3
10100,1,1,0,1,NA,0,0,3.75,1,3,1,3,4,3,3,1,1,4,1.5
10102,0,3,0,2,NA,1,0,1.75,1,3,1,3,4,2,3,0,1,4,1.5
10105,1,1,0,2,NA,0,1,1.75,1,3,1,3,4,3,2,1,1,5,3.5
10106,0,3,1,1,NA,0,0,2,0,2,1,NA,NA,NA,NA,0,1,4,3
10107,1,3,0,3,NA,0,0,2,0,3,2,3,3,4,2,NA,NA,4,3.5
10109,1,1,0,1,NA,0,1,2.5,3,NA,NA,NA,NA,NA,NA,0,0,3,1.5
10110,1,1,1,1,NA,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,4,3.5
10112,0,5,0,3,NA,1,1,1.25,0,3,1,4,4,3,3,0,1,6,4
10113,0,1,1,1,NA,0,0,2.25,0,3,1,3,3,3,3,NA,NA,2,1.5
10114,0,1,1,1,1,0,0,2,1,3,2,4,3,4,3,1,1,3,2
10115,0,1,1,1,NA,0,0,2,1,2,2,2,4,2,4,1,1,3,2
10116,0,1,1,1,NA,0,0,2,0,3,1,3,3,2,3,0,0,3,2
